qa_id,question_asker_intent_understanding,question_body_critical,question_conversational,question_expect_short_answer,question_fact_seeking,question_has_commonly_accepted_answer,question_interestingness_others,question_interestingness_self,question_multi_intent,question_not_really_a_question,question_opinion_seeking,question_type_choice,question_type_compare,question_type_consequence,question_type_definition,question_type_entity,question_type_instructions,question_type_procedure,question_type_reason_explanation,question_type_spelling,question_well_written,answer_helpful,answer_level_of_information,answer_plausible,answer_relevance,answer_satisfaction,answer_type_instructions,answer_type_procedure,answer_type_reason_explanation,answer_well_written
39,0.9289031999999999,0.55091965,0.08104212,0.39486015,0.7575384000000001,0.63294923,0.75820893,0.69613117,0.8611963,0.0032332388,0.51367694,0.5977931,0.026504736,0.04680318,0.014211099,0.016807232,0.15531604,0.21188004,0.7809971,0.0013161942000000002,0.8816725000000001,0.93041784,0.61732036,0.95122546,0.94097966,0.74565154,0.15466055,0.061969772,0.70559597,0.9201123
46,0.85272354,0.5536545999999999,0.004447421,0.7366236999999999,0.8395969999999999,0.9112146000000001,0.621785,0.458884,0.18526138,0.0032541025,0.37227598,0.6229749,0.003375879,0.0038213294,0.0036499351,0.010681638,0.7912545999999999,0.16303633,0.17372993,0.0008301356,0.7229293000000001,0.9445181,0.6826145,0.96888787,0.9738918,0.90551555,0.8093422,0.15954658,0.24830259999999998,0.9081360999999999
70,0.8913979999999999,0.6267911,0.019631019,0.7286566,0.9070855999999999,0.8424845,0.6720074,0.6148754,0.29322028,0.0014514570000000002,0.2552213,0.7442850999999999,0.011656587,0.021527378,0.0136385355,0.013898137,0.09448805,0.0955184,0.6340952,0.0008263832400000001,0.9002349000000001,0.9007562,0.6204196999999999,0.9481073,0.9578303,0.81192285,0.12714173,0.056925856,0.8451579,0.89836615
132,0.851196,0.4163371,0.0045011140000000005,0.67921734,0.7457944999999999,0.9120931000000001,0.589553,0.41282505,0.11745674,0.007028744599999999,0.4416058,0.049246643,0.0046372986,0.0034513691999999998,0.0038543288,0.0059699104,0.8409843000000001,0.21359208,0.48492292,0.00081577635,0.68698066,0.96026325,0.7075643,0.96732384,0.9819146999999999,0.9089082,0.74994373,0.19566193,0.63429517,0.9148419
200,0.93471694,0.43812970000000007,0.020407973,0.72139204,0.8285811,0.7955194999999999,0.73494214,0.64013445,0.19409424,0.0048167923999999996,0.29501352,0.33368364,0.009752904,0.007913654000000001,0.022914585,0.062765025,0.19679860000000002,0.10289315,0.50462294,0.0017604707000000001,0.70288044,0.91590047,0.6523684000000001,0.9593071,0.95177144,0.8357228000000001,0.16171227,0.103783794,0.6577835,0.91434413
245,0.94555014,0.76964027,0.015067263000000001,0.41105568,0.9589943999999999,0.7823344,0.64975274,0.6071145,0.58989495,0.0017314694,0.09747063,0.06475790599999999,0.020507503,0.010937941000000001,0.08591738,0.17846258,0.07774671,0.28871584,0.5861089,0.0013920678,0.9454763,0.9388243000000001,0.64231426,0.9689761,0.97350657,0.85530156,0.12307083,0.08517964,0.80728954,0.93504804
257,0.86483073,0.52808344,0.0028943000000000003,0.70718,0.8051893,0.9153653,0.6059274,0.4318236,0.077314526,0.0052327695,0.38796440000000004,0.022187755,0.0024660629999999997,0.0024899715,0.002573371,0.006545419300000001,0.92420053,0.19350486,0.18500063,0.00077578425,0.70242894,0.9641506,0.7056722,0.9708331,0.98499554,0.9190476000000001,0.78396463,0.21900065,0.5813494,0.93077224
267,0.9412264000000001,0.75362074,0.14965129,0.7583565,0.8652655999999999,0.68747747,0.7098314,0.7484244999999999,0.36284816,0.0033551303,0.34609863,0.18503645,0.02108803,0.014375553000000001,0.10882773,0.023269475,0.010132287,0.039004463999999996,0.90767694,0.0013889669,0.9317332,0.9015306000000001,0.61354256,0.94785,0.9640489,0.7636613,0.017623994,0.02276663,0.85085654,0.93296427
284,0.8522195,0.44288320000000003,0.0038609946999999998,0.64530313,0.8023834,0.9012764999999999,0.6232808000000001,0.45250958,0.44333813,0.003400385,0.35774398,0.45461822,0.005335922,0.004206041,0.0043130186,0.00549422,0.7966492,0.18725818,0.33475453,0.0010003896000000002,0.7515385,0.95986295,0.662864,0.97143227,0.9815745000000001,0.9042037,0.62274396,0.122803025,0.7127720999999999,0.91823024
292,0.94960433,0.6472989,0.007659994,0.74829507,0.9160148000000001,0.86140215,0.6758761999999999,0.65069604,0.17831422,0.0029420391999999997,0.14275663,0.05114526,0.005236864,0.008118305,0.025801105,0.037750077,0.22933684,0.16439052,0.7186469,0.0012314380999999999,0.85787314,0.92116404,0.6104589,0.948055,0.9621931999999999,0.8297708,0.5208019,0.120811746,0.78423876,0.9017296
296,0.8846768,0.5281501999999999,0.002919655,0.69170505,0.78335214,0.9032808000000001,0.58800143,0.46860814,0.071640454,0.005613889499999999,0.38487297,0.022356551000000002,0.0030091872999999996,0.0019042929999999998,0.0023949894,0.0031913010999999997,0.9301234,0.20793328,0.07594273,0.00080836745,0.7002464,0.96184343,0.71342665,0.9715370999999999,0.98399043,0.9201538,0.83033013,0.26035425,0.4756477,0.92236245
